TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE
DNO.OL,DNO ASA,https://www.dno.no,Oil & Gas E&P,Energy,9.385,NOK,0,8.0
ELK.OL,Elkem ASA,https://www.elkem.com,Specialty Chemicals,Basic Materials,22.7,NOK,0,4.0
EMGS.OL,Electromagnetic Geoservices ASA,https://www.emgs.com,Oil & Gas Equipment & Services,Energy,2.38,NOK,0,0.0
ENTRA.OL,Entra ASA,https://www.entra.no,Real Estate Services,Real Estate,116.0,NOK,0,8.0361
EQNR.OL,Equinor ASA,https://www.equinor.com,Oil & Gas Integrated,Energy,301.6,NOK,0,8.0367
EPR.OL,Europris ASA,https://www.europris.no,Discount Stores,Consumer Defensive,80.2,NOK,0,8.0466
FLNG.OL,FLEX LNG Ltd.,https://www.flexlng.com,Oil & Gas Midstream,Energy,317.4,NOK,0,8.0
FRO.OL,Frontline plc,https://www.frontlineplc.cy,Oil & Gas Midstream,Energy,229.55,NOK,0,8.1092
RISH.OL,GC Rieber Shipping ASA,https://www.gcrieber-shipping.com,Marine Shipping,Industrials,8.74,NOK,0,4.0247
GJF.OL,Gjensidige Forsikring ASA,https://www.gjensidige.no,Insurance - Property & Casualty,Financial Services,171.6,NOK,0,7.0489
GOGL.OL,Golden Ocean Group Limited,https://www.goldenocean.bm,Marine Shipping,Industrials,111.55,NOK,0,8.2279
GOD.OL,Goodtech ASA,https://www.goodtech.no,Engineering & Construction,Industrials,10.8,NOK,0,0.0
GSF.OL,Grieg Seafood ASA,https://griegseafood.com,Farm Products,Consumer Defensive,65.4,NOK,0,4.0268
HAVI.OL,Havila Shipping ASA,https://www.havilashipping.no,Marine Shipping,Industrials,5.45,NOK,0,0.0
HELG.OL,SpareBank 1 Helgeland,https://www.sparebank1.no/nb/helgeland/privat.html,Banks - Regional,Financial Services,139.0,NOK,0,7.036
HEX.OL,Hexagon Composites ASA,https://www.hexagongroup.com,Packaging & Containers,Consumer Cyclical,24.44,NOK,0,0.0
HSPG.OL,Høland og Setskog Sparebank,https://www.hsbank.no,Banks - Regional,Financial Services,127.0,NOK,0,4.0565
JIN.OL,Jinhui Shipping and Transportation Limited,https://www.jinhuiship.com,Marine Shipping,Industrials,7.2,NOK,0,8.0
KID.OL,Kid ASA,https://www.kid.no,Specialty Retail,Consumer Cyclical,136.0,NOK,0,8.073
KIT.OL,Kitron ASA,https://www.kitron.com,Electronic Components,Technology,31.9,NOK,0,8.0337
MOBA.OL,Morrow Bank ASA,https://www.komplettbank.no,Banks - Regional,Financial Services,3.81,NOK,0,0.0
KOA.OL,Kongsberg Automotive ASA,https://www.kongsbergautomotive.com,Auto Parts,Consumer Cyclical,1.871,NOK,0,0.0
KOG.OL,Kongsberg Gruppen ASA,https://www.kongsberg.com,Aerospace & Defense,Industrials,529.0,NOK,0,9.0162
MEDI.OL,Medistim ASA,https://www.medistim.com,Medical Devices,Healthcare,212.0,NOK,0,4.0231
MELG.OL,Melhus Sparebank,https://www.melhusbanken.no,Banks - Regional,Financial Services,164.0,NOK,0,4.0713
MULTI.OL,Multiconsult ASA,https://www.multiconsultgroup.com,Engineering & Construction,Industrials,124.0,NOK,0,4.0301
NAPA.OL,Napatech A/S,https://www.napatech.com,Communication Equipment,Technology,15.0,NOK,0,0.0
NODL.OL,Northern Drilling Ltd.,https://www.northerndrillingltd.com,Oil & Gas Drilling,Energy,0.382,NOK,0,0.0
NRC.OL,NRC Group ASA,https://www.nrcgroup.com,Railroads,Industrials,11.3,NOK,0,0.0
OTS.OL,Oceanteam ASA,https://www.oceanteam.nl,Marine Shipping,Industrials,1.32,NOK,0,0.0
ODL.OL,Odfjell Drilling Ltd.,https://www.odfjelldrilling.com,Oil & Gas Drilling,Energy,40.25,NOK,0,8.0
OLT.OL,Olav Thon Eiendomsselskap ASA,https://www.olt.no,Real Estate Services,Real Estate,201.0,NOK,0,4.0167
ORK.OL,Orkla ASA,https://www.orkla.no,Packaged Foods,Consumer Defensive,83.1,NOK,0,5.0346
PEXIP.OL,Pexip Holding ASA,https://www.pexip.com,Software - Application,Technology,25.18,NOK,0,0.0
PGS.OL,PGS ASA,https://www.pgs.com,Oil & Gas Equipment & Services,Energy,6.884,NOK,0,0.0
PSE.OL,Petrolia SE,https://www.petrolia.eu,Oil & Gas Equipment & Services,Energy,4.06,NOK,0,0.0
PHO.OL,Photocure ASA,https://www.photocure.com,Drug Manufacturers—Specialty & Generic,Healthcare,67.1,NOK,0,0.0
POL.OL,Polaris Media ASA,https://www.polarismedia.no,Publishing,Communication Services,70.5,NOK,0,7.0579
PLT.OL,poLight ASA,https://www.polight.com,Electronic Components,Technology,18.52,NOK,0,0.0
PRS.OL,Prosafe SE,https://www.prosafe.com,Oil & Gas Equipment & Services,Energy,62.1,NOK,0,0.1294
QFR.OL,Q-Free ASA,https://www.q-free.com,Infrastructure Operations,Industrials,11.9,NOK,0,0.0
QEC.OL,Questerre Energy Corporation,https://www.questerre.com,Oil & Gas E&P,Energy,2.02,NOK,0,0.0
