TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,CRITERIA PASSED
NODL.OL,Northern Drilling Ltd.,https://www.northerndrillingltd.com,Oil & Gas Drilling,Energy,0
MPCC.OL,MPC Container Ships ASA,https://www.mpc-container.com,Marine Shipping,Industrials,0
NAS.OL,Norwegian Air Shuttle ASA,https://www.norwegian.com,Airlines,Industrials,0
NRC.OL,NRC Group ASA,https://www.nrcgroup.com,Railroads,Industrials,0
OTS.OL,Oceanteam ASA,https://www.oceanteam.nl,Marine Shipping,Industrials,0
ODL.OL,Odfjell Drilling Ltd.,https://www.odfjelldrilling.com,Oil & Gas Drilling,Energy,0
ODF.OL,Odfjell SE,https://www.odfjell.com,Marine Shipping,Industrials,0
OLT.OL,Olav Thon Eiendomsselskap ASA,https://www.olt.no,Real Estate Services,Real Estate,0
ORK.OL,Orkla ASA,https://www.orkla.no,Packaged Foods,Consumer Defensive,0
PEN.OL,Panoro Energy ASA,https://www.panoroenergy.com,Oil & Gas E&P,Energy,0
PARB.OL,Pareto Bank ASA,https://www.paretobank.no,Banks—Regional,Financial Services,0
PEXIP.OL,Pexip Holding ASA,https://www.pexip.com,Software—Application,Technology,0
PGS.OL,PGS ASA,https://www.pgs.com,Oil & Gas Equipment & Services,Energy,0
PSE.OL,Petrolia SE,https://www.petrolia.eu,Oil & Gas Equipment & Services,Energy,0
PHO.OL,Photocure ASA,https://www.photocure.com,Drug Manufacturers—Specialty & Generic,Healthcare,0
POL.OL,Polaris Media ASA,https://www.polarismedia.no,Publishing,Communication Services,0
PLT.OL,poLight ASA,https://www.polight.com,Electronic Components,Technology,0
PRS.OL,Prosafe SE,https://www.prosafe.com,Oil & Gas Equipment & Services,Energy,0
QFR.OL,Q-Free ASA,https://www.q-free.com,Infrastructure Operations,Industrials,0
QEC.OL,Questerre Energy Corporation,https://www.questerre.com,Oil & Gas E&P,Energy,0
SALM.OL,SalMar ASA,https://www.salmar.no,Farm Products,Consumer Defensive,0
SADG.OL,Sandnes Sparebank,https://www.dengulebanken.no,Banks—Regional,Financial Services,0
SATS.OL,Sats ASA,https://www.satsgroup.com,Leisure,Consumer Cyclical,0
SCATC.OL,Scatec ASA,https://scatec.com,Utilities—Renewable,Utilities,0
SCHA.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,0
SCHB.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,0
SDSD.OL,S.D. Standard ETC Plc,https://www.standard-etc.com,Oil & Gas Equipment & Services,Energy,0
SBX.OL,SeaBird Exploration Plc,https://www.sbexp.com,Oil & Gas Equipment & Services,Energy,0
SDRL.OL,Seadrill Limited,https://www.seadrill.com,Oil & Gas Drilling,Energy,0
SBO.OL,Selvaag Bolig ASA,https://www.selvaagboligasa.no,Real Estate Services,Real Estate,0
SHLF.OL,"Shelf Drilling, Ltd.",https://www.shelfdrilling.com,Oil & Gas Drilling,Energy,0
SIOFF.OL,Siem Offshore Inc.,https://www.siemoffshore.com,Oil & Gas Equipment & Services,Energy,0
